Model,Average Error,RMSE
linear,8.22027,11.0149491266
bayesian,8.21504,11.0109889601
mlp,11.4942,15.0676642055
linSVR,20.1176,28.9881053789
elastic,8.23554,11.0663055822
lasso,8.23904,11.0722205009
forest-1,10.635,14.3817280388
forest-2,9.20467,12.2802580552
forest-3,8.64194,11.50576143
forest-4,8.45144,11.1506177372
forest-5,8.24134,10.9288041469
forest-10,7.78083,10.4234454134
forest-20,7.56529,10.122711595
forest-30,7.43435,9.98407898794
forest-40,7.44737,9.97067922082
forest-50,7.39611,9.92299955754
forest-100,7.32813,9.83594768873
bagger-1,10.8404,14.6590165275
bagger-2,9.1485,12.1799558655
bagger-3,8.62704,11.4998785307
bagger-4,8.26849,11.0373469219
bagger-5,8.16903,10.8964722603
bagger-10,7.73279,10.3007884552
bagger-20,7.49647,10.0453751653
bagger-30,7.47512,10.0112325308
bagger-40,7.38139,9.92924710926
bagger-50,7.34864,9.84668035712
bagger-100,7.29323,9.78760067719
extrat-1,10.6551,14.5494944248
extrat-2,8.98468,11.9949033916
extrat-3,8.65545,11.5114780677
extrat-4,8.12575,10.9002553822
extrat-5,8.11585,10.8078142733
extrat-10,7.58207,10.1963139687
extrat-20,7.38341,9.91209818253
extrat-30,7.28718,9.81125336969
extrat-40,7.29297,9.80125368168
extrat-50,7.26088,9.7468515979
extrat-100,7.22009,9.69927651228
gboost-1,16.4083,19.1575680501
gboost-2,15.2894,17.9722985126
gboost-3,14.3061,16.9270246868
gboost-4,13.4522,16.0251296752
gboost-5,12.7259,15.2514187789
gboost-10,10.2634,12.7302447025
gboost-20,8.50422,11.0693541798
aboost-1,10.3592,14.0569693425
aboost-2,10.7472,14.4329452238
aboost-3,8.71912,11.9007512445
aboost-4,8.93594,12.1462098922
aboost-5,8.49101,11.5210186602
aboost-10,7.84677,10.7615654216
aboost-20,7.54055,10.3333382885
